Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Cataluna,Barcelona,Arenys de Mar Nº 01,Canet de Mar,Colegi Santa Rosa de Lima,Edificio,False,Congregacion de las Hermanas Dominicas de la Anunciata,False
Cataluna,Barcelona,Arenys de Mar Nº 01,Canet,Colegi,Edificio,False,Congregacion de las Hermanas Dominicas de la Anunciata,False
Cataluna,Barcelona,Arenys de Mar Nº 01,Calella,Sta. Maria i Sant Nicolau,Conjunto parroquial,True,Bisbat de Girona,False
Cataluna,Barcelona,Arenys de Mar Nº 01,Canet,Sant  Pere i Sant  Pau,Templo,True,Bisbat de Girona,False
Cataluna,Barcelona,Arenys de Mar Nº 01,Arenys Mar,Sta. M. Assumpta,Templo,True,Bisbat de Girona,False
Cataluna,Barcelona,Barcelona Nº 01,Barcelona,"Templo de Sant Pere de les Puel3les, Centro Parroquial y varias dependencias Parroquiales",Templo,True,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 01,Barcelona,"Templo de Santa Anna, el Claustro Gótico y la Sala Capitular",Templo,True,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 01,Barcelona,Casa Rectoral y el patio de entrada al Templo de Santa Anna y al Claustro Gótico,Casa Rectoral,True,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 01,Barcelona,Casa,Predio,False,Cabildo de la Santa Iglesia Catedral Basílica de Barcelona,True
Cataluna,Barcelona,Barcelona Nº 01,Barcelona,Iglesia de Sant Sever,Iglesia,True,Arzobispado de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 01,Barcelona,"Basílica de Santa María del Pi, casa rectoral, varuas dependencias parroquiales, patio y un jardín",Parroquia,True,Arzobispado de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 01,Barcelona,Palacio Episcopal,Palacio Episcopal,True,Arzobispado de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 01,Barcelona,Catedral Basílica de Barcelona,Catedral,True,Santa Iglesia Basílica de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 03,Barcelona,Casa rectoral,Iglesia,True,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 03,Barcelona,Parroquia,Iglesia,True,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 03,Barcelona,Parroquia,Iglesia,True,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 04,Barcelona,Terreno con templo con dependencias parroquiales,Terreno,False,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 06,Barcelona,Parroquia de San Gervasio y San Protasio,Terreno,False,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 08,Barcelona,Solar,Solar (instalación deportiva),False,"Sociedad de San Francisco de Sales, conocido como Congregación Salesiana",True
Cataluna,Barcelona,Barcelona Nº 08,Barcelona,Temple de Sant Vicenç,Iglesia,True,Parroquia de Sant Vicenç de Sarria,True
Cataluna,Barcelona,Barcelona Nº 08,Barcelona,"Temple de Santa Creu d'Olorde, la Casa Rectoral y la antigua casa de los Colonos",Iglesia,True,Arquebisbat de Barcelona,True
Cataluna,Barcelona,Barcelona Nº 15,Barcelona,Temple de Santa Maria de Jesús de Gràcia,Terreno,False,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 18,Barcelona,Templo de Santa Madrona i Casa Rectoral,Terreno,False,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 21,Barcelona,Templo de Sant Francesc d'Assis,Terreno,False,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 21,Barcelona,Edificación y patio destinado a escuela,Terreno,False,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 21,Barcelona,"Templo de Santa María de Taulat, Locales parroquials, casa Rectoral y una vivienda",Terreno,False,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 24,Barcelona,Temple de Sant Just i Pastor,Templo,True,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 24,Barcelona,Basílica de la Mare de Déu de la Mercè i Sant Miquel Arcàngel,Basilica,True,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 24,Barcelona,Basílica de Santa Maria del Mar,Basilica,True,Parroquia de Santa Maria del Mar,False
Cataluna,Barcelona,Barcelona Nº 24,Barcelona,Temple de Sant Jaume,Templo,True,Parroquia de Sant Jaume de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 24,Barcelona,Temple de Sant Miquel del Port,Templo,True,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 24,Barcelona,Casa rectora y casal parroquial Sant Miquel,Casa Rectoral,True,Arquebisbat de Barcelona,False
Cataluna,Barcelona,Barcelona Nº 27,Barcelona,Templo de Santa Eulalia de Vilapiscina,Terreno,False,Arquebisbat de Barcelona,False
Cataluna,Barcelona,D´Alpens,D´Alpens,Iglesia,Iglesia,True,Parroquia de Santa María D´ Alpens,True
Cataluna,Barcelona,D´Alpens,D´Alpens,E.Sant  Sebastià,Ermita,True,Parroquia de Santa María D´ Alpens,True
Cataluna,Barcelona,D´Alpens,D´Alpens,E.cementerio,Ermita,True,Parroquia de Santa María D´ Alpens,True
Cataluna,Barcelona,D´Alpens,D´Alpens,Casa,Casa,False,Parroquia de Santa María D´ Alpens,True
Cataluna,Barcelona,D´ Avia,D´ Avia,La Torreta,Casa,False,Obispado de Solsona,True
Cataluna,Barcelona,D´ Avia,D´ Avia,Sant Martí,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,D´ Avia,D´ Avia,Sant Bartomeu,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,D´ Avia,D´ Avia,Sta.Maria,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,D´ Avia,D´ Avia,Sta.Maria,Ermita,True,Obispado de Solsona,True
Cataluna,Barcelona,D´ Avia,Baga,Sant Esteve,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,D´ Avia,Baga,Paller,Santuario,True,Obispado de Solsona,True
Cataluna,Barcelona,D´ Avia,Baga,La Serra,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,D´ Avia,Baga,Sant Andreu Greixer,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Berga,Sant Eulàlia,Templo,True,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Berga,Solar,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Berga,"Queralt, 02",Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Berga,"Queralt, 03",Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Berga,"Queralt, 04",Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Berga,"Queralt, 05",Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Berga,Sant Joan,Templo,True,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Berga,Rectoria,Huerto,False,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Berga,Casa Rectoral,Casa Rectoral,True,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Berga,Sant Bartomeu,Iglesia y Rectoria,True,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Berga,Pietat,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Borreda,C/Manresa,Casa,False,Parroquia de Santa María de Borredá,True
Cataluna,Barcelona,Berga,Borreda,Sta.Maria,Iglesia,True,Parroquia de Santa María de Borredá,True
Cataluna,Barcelona,Berga,Broca,Gabarrós,Rectoria,True,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Broca,Sant Martí,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Capolat,Iglesia y Cem,Iglesia y Cementerio,True,Parroquia de San Martín de Capolat,True
Cataluna,Barcelona,Berga,Capolat,Sant QUINTI,Ermita,True,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Capolat,Sant MARTI,Templo,True,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Capolat,Sant MARTI,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Capolat,Coforb,Rectoria,True,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Capolat,Sant Andreu Greixer,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Berga,Capolat,Tossals,Santuario,True,Obispado de Solsona,True
Cataluna,Barcelona,Cardona,Cardona,Casa Rectoral,Rectoria,True,Obispado de Solsona,True
Cataluna,Barcelona,Cardona,Cardona,Casa Rectoral,Local Casa Rectoral,True,Obispado de Solsona,True
Cataluna,Barcelona,Cardona,Cardona,Sant MIQUEL,Templo,True,Obispado de Solsona,True
Cataluna,Barcelona,Cardona,Cardona,Bolsegura,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Cardona,Cardona,Sta.eulalia,Capilla,True,Obispado de Solsona,True
Cataluna,Barcelona,Cardona,Cardona,Pietat,Capilla,True,Obispado de Solsona,True
Cataluna,Barcelona,Cardona,Cardona,Sant SALVADOR,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Cardona,Cardona,Els Dolors,Sala,True,Obispado de Solsona,True
Cataluna,Barcelona,Cardona,Cardona,Ramon Nonat,Templo,True,Obispado de Solsona,True
Cataluna,Barcelona,Cardona,Cardona,Verge Montserrat,Capilla,True,Obispado de Solsona,True
Cataluna,Barcelona,Cardona,Cardona,Sant JOAN,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Casserres,Casserres,Casa de Les Monges,Casa de les Monjas,True,Obispado de Solsona,True
Cataluna,Barcelona,Casserres,Casserres,"Sant PAU, 01",Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Casserres,Casserres,"Sant PAU, 02",Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Casserres,Casserres,"Sant PAU, 03",Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Casserres,Casserres,"Sant PAU, 04",Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Casserres,Casserres,"Sant PAU, 05",Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Casserres,Casserres,"Sant PAU, 06",Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Casserres,Casserres,Mare Deu Rosaret,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Casserres,Casserres,Sta.maria Antoitat,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Casserres,Casserres,Els Angels,Rectoria,True,Parroquia de Nuestra Señora de los Ángeles de Casserres,True
Cataluna,Barcelona,Castell de L´ Areny,Castell de L´Areny,Sant RAMON,Templo,True,Obispado de Solsona,True
Cataluna,Barcelona,Castell de L´ Areny,Castelar de N´hug,Cementiri,Cementerio,True,Obispado de Solsona,True
Cataluna,Barcelona,Castell de L´ Areny,Castelar de N´hug,Sant Joan Cornudell,Ermita,True,Obispado de Solsona,True
Cataluna,Barcelona,Castell de L´ Areny,Castelar de N´hug,Sant Vicenc Rus,Ermita,True,Obispado de Solsona,True
Cataluna,Barcelona,Castell de L´ Areny,Castelar de N´hug,Sta.maria,Templo,True,Obispado de Solsona,True
Cataluna,Barcelona,Castelar del Riu,Castelar del Riu,"Corbera, 01",Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Castelar del Riu,Castelar del Riu,"Corbera, 02",Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Castelar del Riu,Castelar del Riu,Casa Rectoral,Casa Rectoral,True,Obispado de Solsona,True
Cataluna,Barcelona,Castelar del Riu,Cercs,C/joan Carles I,Edificio,False,Obispado de Solsona,True
Cataluna,Barcelona,Castelar del Riu,Cercs,C/joan Carles I,Edificio,False,Obispado de Solsona,True
Cataluna,Barcelona,Castelar del Riu,Cercs,C/joan Carles I,Parcela,False,Obispado de Solsona,True
Cataluna,Barcelona,Castelar del Riu,Cercs,N.Sant CONSOLACIÓ,Ermita,True,Obispado de Solsona,True
Cataluna,Barcelona,Castelar del Riu,Cercs,Rodonella,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,L´Espunyola,L´ Espunyola,Esglaiola,Parroquia,True,Parroquia de San Pedro de L´ Esglaiola,True
Cataluna,Barcelona,L´Espunyola,L´ Espunyola,Sant Serni,Templo,True,Obispado de Solsona,True
Cataluna,Barcelona,L´Espunyola,L´ Espunyola,Casa Rectoral,Rectoria,True,Obispado de Solsona,True
Cataluna,Barcelona,L´Espunyola,L´ Espunyola,Sants Metges,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,L´Espunyola,L´ Espunyola,Cementiri,Cementerio,True,Obispado de Solsona,True
Cataluna,Barcelona,L´Espunyola,L´ Espunyola,Sant CLIMENT,Templo,True,Obispado de Solsona,True
Cataluna,Barcelona,L´Espunyola,L´ Espunyola,Sants Metges,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,L´Espunyola,Figols,Fumanya,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,L´Espunyola,Figols,Casa Rectoral,Casa Rectoral,True,Obispado de Solsona,True
Cataluna,Barcelona,L´Espunyola,Figols,Sant Cecilia,Templo,True,Obispado de Solsona,True
Cataluna,Barcelona,L´Espunyola,Gironella,Cal Bassacs,Casa,False,Diócesis del Obispado de Solsona,True
Cataluna,Barcelona,L´Espunyola,Gironella,Sant MARC,Ermita,True,Obispado de Solsona,True
Cataluna,Barcelona,L´Espunyola,Gironella,Viladomiu Nou,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,L´Espunyola,Gironella,Sta.eulalia,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Gliscareny,Gliscareny,Sant Marti del Puig,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Lluca,Lluca,Esgledia Parroquial,Iglesia,True,Parroquia de Santa Eulalia de Puigoriol,True
Cataluna,Barcelona,Lluca,Lluca,Sant CRISTOFOL,Iglesia,True,Parroquia de Santa Eulalia de Puigoriol,True
Cataluna,Barcelona,Lluca,Montclar,Sant MARTI,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Lluca,Montclar,La Vinya,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Montmajor,Montmajor,Sant Mare de Deu Torreta,Ermita,True,Obispado de Solsona,True
Cataluna,Barcelona,Montmajor,Montmajor,Sta.maria Feixana,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Montmajor,Montmajor,Sant FELIU,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Montmajor,Montmajor,Lluelletes,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Montmajor,Montmajor,Lluelletes,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Montmajor,Montmajor,Lluelletes,Slar,False,Obispado de Solsona,True
Cataluna,Barcelona,Montmajor,Montmajor,Lluelletes,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,La Nou,La Nou,Sant SERNI,Iglesia y Rectoria,True,Obispado de Solsona,True
Cataluna,Barcelona,La Pobla de Lillet,La Pobla de Lillet,Sta.maria,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,La Pobla de Lillet,La Pobla de Lillet,Casa Rectoral,Rectoria,True,Obispado de Solsona,True
Cataluna,Barcelona,Llucanes,Llucanes,Sant Andreu LLANARS,Iglesia,True,Parroquia de San Vicente de Prats de Lluçcanes,True
Cataluna,Barcelona,Llucanes,Llucanes,M.deu Bona Sort,Capilla,True,Parroquia de San Vicente de Prats de Lluçcanes,True
Cataluna,Barcelona,Llucanes,Llucanes,Lourdes,Ermita,True,Parroquia de San Vicente de Prats de Lluçcanes,True
Cataluna,Barcelona,Llucanes,Llucanes,Sant SEBASTIÀ,Ermita y Casa,True,Parroquia de San Vicente de Prats de Lluçcanes,True
Cataluna,Barcelona,Llucanes,Llucanes,E. Casa Rectoral,Iglesia,True,Parroquia de San Vicente de Prats de Lluçcanes,True
Cataluna,Barcelona,Llucanes,Llucanes,Cementiri,Cementerio,True,Parroquia de Santa Eulalia de Pardines,True
Cataluna,Barcelona,Llucanes,Llucanes,Sant Eulalia Pardines,Huertos,False,Parroquia de Santa Eulalia de Pardines,True
Cataluna,Barcelona,Llucanes,Puig-Reig,Feixes,Escuelas Parroquiales,True,Parroquia de San Martín de Puig Reig,True
Cataluna,Barcelona,Llucanes,Puig-Reig,Sant SERNI,Ermita,True,Obispado de Solsona,True
Cataluna,Barcelona,Llucanes,Puig-Reig,Sant MARTI,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Llucanes,Puig-Reig,La Prada,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Llucanes,Puig-Reig,Afores,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Llucanes,Puig-Reig,Perites,Ermita,True,Obispado de Solsona,True
Cataluna,Barcelona,Llucanes,Puig-Reig,Sant MARTI,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Puigoriol,S.e.puioriol,Cementiri,Cementerio,True,Parroquia de Santa Eulalia de Puigoriol,True
Cataluna,Barcelona,La Quar,La Quar,Rectoria,Rectoria y Albergue,True,Obispado de Solsona,True
Cataluna,Barcelona,Sagas,Sagas,Sant Esteve Valloriola,Capilla,True,Obispado de Solsona,True
Cataluna,Barcelona,Sagas,Sagas,Solar,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Sagas,Sagas,Solar,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Sagas,Sagas,Solar,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Sagas,Sagas,Solar,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Sagas,Sagas,Solar,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Sagas,Sagas,L'Aparició,Ermita,True,Obispado de Solsona,True
Cataluna,Barcelona,Sagas,Sagas,Solar,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Sagas,Sagas,Solar,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Sagas,Sagas,Sant Maurici Quar,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Sagas,Sagas,Sant Pere Portella,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Saldes,Saldes,Camp del Cantó,Solar,False,Parroquia de Saldes,True
Cataluna,Barcelona,Saldes,Saldes,Sant ANDREU,Templo,True,Obispado de Solsona,True
Cataluna,Barcelona,Saldes,Saldes,Gresolet,"Santuario, Hospedaje y cobertizo",True,Obispado de Solsona,True
Cataluna,Barcelona,Saldes,Saldes,"Rectoria, 01",Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Saldes,Saldes,"Rectoria, 02",Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Saldes,Saldes,Sant MARTI,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Saldes,Saldes,Sant Antoni Farners,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Sant Jaume dels Frontanya,Sant Jaume dels Frontanya,Casa Rectoral,Casa Rectoral,True,Obispado de Solsona,True
Cataluna,Barcelona,Sant Julia de Cerdanyola,Sant Julia de Cerdanyola,Sant JULIÀ,Templo,True,Obispado de Solsona,True
Cataluna,Barcelona,Sant Julia de Cerdanyola,Sant Julia de Cerdanyola,Casa Rectoral,Rectoria,True,Obispado de Solsona,True
Cataluna,Barcelona,Sant Julia de Cerdanyola,Sant Julia de Cerdanyola,M.deu Esposes,Ermita,True,Obispado de Solsona,True
Cataluna,Barcelona,Sant Julia de Cerdanyola,Sant Julia de Cerdanyola,Sant Llorens Prop Bagà,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Sant Julia de Cerdanyola,Sant Julia de Cerdanyola,Sant Llorens Prop Bagà,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Sant Julia de Cerdanyola,Sant Julia de Cerdanyola,Sant Llorens Prop Bagà,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Sant Julia de Cerdanyola,Sant Julia de Cerdanyola,Sant Llorens Prop Bagà,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Sant Julia de Cerdanyola,Sant Julia de Cerdanyola,Sant Llorens Prop Bagà,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Sant Julia de Cerdanyola,Sant Julia de Cerdanyola,Hostetgeria,Hospedaje,True,Obispado de Solsona,True
Cataluna,Barcelona,San Martin D´ Albars,San Martin D´ Albars,Sant Marti Albars,Iglesia,True,Parroquia de San Martín D´ Albars,True
Cataluna,Barcelona,San Martin D´ Albars,San Martin D´ Albars,Cementiri,Cementerio,True,Parroquia de San Martín D´ Albars,True
Cataluna,Barcelona,San Martin D´ Albars,San Martin D´ Albars,Hort,Pieza de tierra,False,Parroquia de San Martín D´ Albars,True
Cataluna,Barcelona,Santa Maria de Merles,Santa Maria de Merles,Sant Pau Pinós,Iglesia,True,Parroquia de Santa María de Merles,True
Cataluna,Barcelona,Santa Maria de Merles,Santa Maria de Merles,Esglèsia,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Santa Maria de Merles,Santa Maria de Merles,Esgledia Parroquial,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Santa Maria de Merles,Santa Maria de Merles,Casa Rectoral,Casa Rectoral,True,Obispado de Solsona,True
Cataluna,Barcelona,Santa Maria de Merles,Santa Maria de Merles,Eglesia i cementerio,Iglesia y Cementerio,True,Obispado de Solsona,True
Cataluna,Barcelona,Santa Maria de Merles,Santa Maria de Merles,De L'Assumpta,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Santa Maria de Merles,Santa Maria de Merles,Casa Rectoral,Rectoria,True,Obispado de Solsona,True
Cataluna,Barcelona,Vallcebre,Vallcebre,Sta.magdalena,Capilla,True,Obispado de Solsona,True
Cataluna,Barcelona,Vallcebre,Vallcebre,Sta.maria Vallcebre,Iglesia,True,Obispado de Solsona,True
Cataluna,Barcelona,Vilada,Vilada,Sta.magdalena,Capilla,True,Obispado de Solsona,True
Cataluna,Barcelona,Vilada,Vilada,Clotassos,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Vilada,Vilada,Clotassos,Solar,False,Obispado de Solsona,True
Cataluna,Barcelona,Canovelles,Canovelles,Casa rectoral,Casa Rectoral,True,Parroquia de Sant Félix de Canovelles,False
Cataluna,Barcelona,Canovelles,Canovelles,Templo de Sant Félix,Templo,True,Parroquia de Sant Félix de Canovelles,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,Solar,Solar,False,Parroquia de Santa Eulalia de Corro D´Avall,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,Solar,Solar,False,Parroquia de Santa Eulalia de Corro D´Avall,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,Huerto rectoral,Huerto,False,Parroquia de Santa Eulalia de Corro D´Avall,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,Casa rectoral y huerto,Casa Rectoral,True,Parroquia de Santa Coloma de Marata,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,Casa rectoral y huerto,Casa Rectoral,True,Parroquia de Sant Mamet de Corro D ´Amunt,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,Santuario Ntra. Sra. del Pla,Santuario,True,Parroquia de Sant Mamet de Corro D ´Amunt,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,Tierra,Tierra,False,Parroquia de Sant Mamet de Corro D ´Amunt,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,Bosque,Bosque,False,Parroquia de Sant Mamet de Corro D ´Amunt,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,"Cementerio, iglesia, rectoría",Terreno y edificacion,False,Parroquia de Santa María de Llerona,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,Local comercial,Local,False,Parroquia de Sant Francesc D´Assis,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,Terreno,Terreno,False,Parroquia de Sant Mamet de Corro D ´Amunt,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,Terreno,Terreno,False,Parroquia de Sant Mamet de Corro D ´Amunt,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,Cementerio,Cementerio,True,Parroquia de Santa Eulalia de Corro D´Avall,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,Templo de Sant Mamet,Templo,True,Parroquia de Sant Mamet de Corro D ´Amunt,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,Templo de Santa Coloma,Templo,True,Parroquia de Santa Coloma de Marata,False
Cataluna,Barcelona,Les Franqueses del Valles,Les Franqueses del Valles,Patio del templo Sta. Coloma,Templo,True,Parroquia de Santa Coloma de Marata,False
Cataluna,Barcelona,Montmelo,Montmelo,Casa rectoral,Casa Rectoral,True,Parroquia de Santa María de Montmeló,False
Cataluna,Barcelona,Montmelo,Montmelo,Templo de Santa María,Terreno y edificacion,False,Parroquia de Santa María de Montmeló,False
Cataluna,Barcelona,Montornes del Valles,Montornes del Valles,Templo de Sant Sadurní,Templo,True,Parroquia de Sant Sadurni de Montornes,False
Cataluna,Barcelona,Montornes del Valles,Montornes del Valles,Casa rectoral,Casa Rectoral,True,Parroquia de Sant Sadurni de Montornes,False
Cataluna,Barcelona,Montornes del Valles,Montornes del Valles,Centro parroquial,Centro parroquail,True,Parroquia de Sant Sadurni de Montornes,False
Cataluna,Barcelona,Vallromanes,Vallromanes,Templo Sant Vicenç y cementerio,Templo,True,Parroquia de Sant Vicenç de Vallromanes,False
Cataluna,Barcelona,Cerdanyola del Valles nº 1,Cerdanyola del Valles,Ermita de Sant Iscle,Ermita y Solar,True,Ermita de Sant Iscle i Santa Victòria de les Feixes,False
Cataluna,Barcelona,Cerdanyola del Valles Nº 02,Ripollet,Temple de Sant Esteve,Terreno,False,Parroquia de Sant Esteve de Ripollet,True
Cataluna,Barcelona,"Vendrell, El Nº 02",Masllorenc,Casa rectoral,Terreno con casa rectoral,False,Parroquia de Masllorenc,True
Cataluna,Barcelona,"Vendrell, El Nº 02",Masllorenc,Terreno con Casa Rectoral en Plaça de L'Esglesia,Terreno con Casa rectoral masarbones,False,Parroquia de Masllorenc,False
Cataluna,Barcelona,"Vendrell, El Nº 02",Masllorenc,"Partida ""junto a Masarbones""",Terreno,False,Parroquia de Masllorenc,False
Cataluna,Barcelona,"Vendrell, El Nº 02",Masllorenc,Cementerio parroquial,Terreno con cementerio,False,Parroquia de Masllorenc,False
Cataluna,Barcelona,"Vendrell, El Nº 02",Masllorenc,Cementerio parroquial,Cementerio,False,Parroquia de Masllorenc,False
Cataluna,Barcelona,"Vendrell, El Nº 02",Masllorenc,Iglesia de Sant Bartomeu y Hort Rectoral,Iglesia de Sant Bartomeu y Hort rectoral,False,Parroquia de Sant Ramon de Penyafort de Masllorenc,False
Cataluna,Barcelona,"Vendrell, El Nº 02",Santa Oliva,Terreno con iglesia parroquial y casa rectoral,Terreno con iglesia parroquial y casa rectoral,False,Arquebisbat de Tarragona,True
Cataluna,Barcelona,"Vendrell, El Nº 02",Sant Jaume dels Domenys,Esglesia de San Andreu i Santa Marina,Esglesia de San Andreu i Santa Marina,False,Arquebisbat de Tarragona,False
Cataluna,Barcelona,"Vendrell, El Nº 02",Sant Jaume dels Domenys,Esglesia i edificis parroquials,Esglesia i edificis parroquials,False,Arquebisbat de Tarragona,False
Cataluna,Barcelona,Hospitalet Nº 02,Cornella de Llobregat,Terreno,Templo,True,Arquebisbat de Barcelona,True
